market_key,family,direction,mercado,selecao,linha,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,roi,profit,breakeven
btts_total_ft_sim,btts,sim,1° Tempo - Ambas as Equipes Marcam,Sim,,283,154,0.5441696113074205,2.2301595995288577,0.5424813453860649,0.200461247786197,0.08960439256687479,0.21741696113074205,61.529,0.44839840171585005
1x2_total_ft_draw,1x2,draw,Resultado Final,X,,96,31,0.3229166666666667,3.7698958333333334,0.32003454046447016,0.180130603728231,0.04796684551113894,0.21562499999999998,20.7,0.2652593186151253
cartoes_total_ht_under_0_5,cartoes,under,1º Tempo - Total de Cartões,Menos de 0.5,0.5,111,36,0.32432432432432434,3.7005405405405405,0.32910230580677613,0.20051712599944638,0.053701675217506024,0.1690990990990991,18.77,0.27023079170318437
btts_total_ft_nao,btts,nao,Argentinos Juniors Vence ou Ambas as Equipes Marcam,Não,,884,387,0.43778280542986425,2.6213797134238312,0.5559659452299175,0.43843308889094673,0.1651920663251906,0.12994626696832579,114.8725,0.3814784996157165
chutes_total_ft_over_26_5,chutes,over,Total de Finalizações,Mais de 26.5,26.5,112,62,0.5535714285714286,1.9996428571428573,0.6435151764360622,0.2751983406990532,0.136066869776706,0.09812500000000002,10.990000000000002,0.5000893016610108
chutes_alvo_total_ft_under_8_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 8.5,8.5,165,85,0.5151515151515151,2.0721818181818183,0.5530225931710037,0.1325671714224768,0.06259116969893784,0.05,8.25,0.48258313591295954
chutes_total_ft_over_25_5,chutes,over,Total de Finalizações,Mais de 25.5,25.5,137,77,0.5620437956204379,1.8704379562043796,0.6745895549192391,0.24814291310887726,0.13103141229726847,0.04518248175182481,6.189999999999999,0.5346341463414634
escanteios_total_ft_over_9_5,escanteios,over,Total de Escanteios,Mais de 9.5,9.5,308,175,0.5681818181818182,1.8395129870129872,0.653375952312019,0.19172467148355848,0.1034090460648603,0.028506493506493497,8.779999999999998,0.5436221473074818
escanteios_total_ft_under_11_5,escanteios,under,Total de Escanteios,Menos de 11.5,11.5,402,298,0.7412935323383084,1.375223880597015,0.8194247748881418,0.12306027317948197,0.08921906471685735,0.010796019900497514,4.340000000000001,0.7271543303668331
chutes_alvo_total_ft_under_9_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 9.5,9.5,134,77,0.5746268656716418,1.8297761194029851,0.6350372125485133,0.15194995237968148,0.07825466070377944,0.000895522388059699,0.11999999999999966,0.5465149475916636
escanteios_total_ft_under_10_5,escanteios,under,Total de Escanteios,Menos de 10.5,10.5,372,239,0.6424731182795699,1.5721774193548388,0.7401016286274149,0.15686705401100687,0.09973750584048043,-0.0018548387096774198,-0.6900000000000002,0.6360605283406001
gols_total_ft_under_3_5,gols,under,Total de Gols,Menos de 3.5,3.5,310,216,0.6967741935483871,1.4441935483870967,0.784727710321777,0.11949366184590952,0.08155253766763015,-0.007419354838709677,-2.3,0.692427965155238
chutes_total_ft_under_23_5,chutes,under,Total de Finalizações,Menos de 23.5,23.5,109,53,0.48623853211009177,2.0673394495412842,0.6340345017835768,0.29719393150775814,0.14377638460464953,-0.01055045871559635,-1.1500000000000021,0.48371349960060356
cartoes_total_ht_under_2_5,cartoes,under,1º Tempo - Total de Cartões,Menos de 2.5,2.5,140,104,0.7428571428571429,1.3535714285714286,0.8471580991439034,0.14201880121440386,0.09846173081119666,-0.01400000000000002,-1.9600000000000026,0.7387862796833773
cartoes_total_ht_under_1_5,cartoes,under,1º Tempo - Total de Cartões,Menos de 1.5,1.5,588,320,0.54421768707483,1.860561224489796,0.6326551719472123,0.16457775927994028,0.08592479347653802,-0.01488095238095238,-8.75,0.5374722351715249
dupla_total_ft_1x,dupla_chance,other,Dupla Chance,1 ou Empate,,532,356,0.6691729323308271,1.517763157894737,0.7930941054478402,0.1695802017994989,0.10695889025491212,-0.017951127819548864,-9.549999999999995,0.6588643259644559
escanteios_total_ft_over_8_5,escanteios,over,Total de Escanteios,Mais de 8.5,8.5,348,224,0.6436781609195402,1.5362356321839081,0.751108794556696,0.14811049847409566,0.09543827028769679,-0.022586206896551737,-7.860000000000005,0.6509418080469875
escanteios_total_ft_over_7_5,escanteios,over,Total de Escanteios,Mais de 7.5,7.5,367,271,0.7384196185286104,1.3290735694822888,0.8361874910327547,0.10839656081956228,0.08075474139021478,-0.0251226158038147,-9.219999999999995,0.7524037968714763
dupla_total_ht_1x,dupla_chance,other,1º Tempo - Dupla Chance,1X,,334,240,0.718562874251497,1.3761676646706587,0.8092079193091413,0.10020452897024532,0.0708810933460281,-0.02646706586826349,-8.840000000000005,0.7266556435471239
cartoes_total_ft_under_5_5,cartoes,under,Total de Cartões,Menos de 5.5,5.5,392,238,0.6071428571428571,1.6526530612244898,0.7221341967466605,0.17172810298715982,0.0987699860308277,-0.02867346938775509,-11.239999999999995,0.6050876759693752
chutes_alvo_total_ht_under_4_5,chutes_alvo,under,1º Tempo - Total de Chutes no Gol,Menos de 4.5,4.5,154,89,0.577922077922078,1.700194805194805,0.7172876674693599,0.21891172230818087,0.12619796241038064,-0.029805194805194803,-4.59,0.5881678951991751
cartoes_total_ft_under_4_5,cartoes,under,Total de Cartões,Menos de 4.5,4.5,356,176,0.4943820224719101,2.0676966292134833,0.599903215159366,0.20090710962474218,0.09348092056025861,-0.03671348314606743,-13.070000000000004,0.4836299415840239
escanteios_total_ft_under_9_5,escanteios,under,Total de Escanteios,Menos de 9.5,9.5,320,167,0.521875,1.8657187499999999,0.6471746698107419,0.1975687982383927,0.10577730112037247,-0.04334375000000001,-13.870000000000003,0.5359864663417249
chutes_total_ft_over_23_5,chutes,over,Total de Finalizações,Mais de 23.5,23.5,92,53,0.5760869565217391,1.6948913043478262,0.7223437181656066,0.2124783593970885,0.12491690252301321,-0.04467391304347825,-4.109999999999999,0.5900083370743282
escanteios_total_ft_under_12_5,escanteios,under,Total de Escanteios,Menos de 12.5,12.5,310,234,0.7548387096774194,1.2646129032258064,0.8725525818172037,0.1020723826370331,0.08057147210301399,-0.04729032258064515,-14.659999999999998,0.7907558095043746
chutes_alvo_total_ht_under_3_5,chutes_alvo,under,1º Tempo - Total de Chutes no Gol,Menos de 3.5,3.5,406,195,0.4802955665024631,1.9939408866995072,0.5743797652736043,0.141417928094974,0.0701223989877756,-0.048620689655172425,-19.740000000000006,0.5015193813770784
escanteios_total_ht_under_6_5,escanteios,under,1º Tempo - Total de Escanteios,Menos de 6.5,6.5,428,329,0.7686915887850467,1.2362616822429906,0.8864666617311734,0.09531629452531554,0.07691779276242526,-0.051892523364486,-22.210000000000008,0.8088902328394315
chutes_alvo_total_ft_over_7_5,chutes_alvo,over,Total de Chutes no Gol,Mais de 7.5,7.5,105,58,0.5523809523809524,1.709047619047619,0.6473278656840805,0.10169266366008343,0.058014274253715935,-0.05247619047619048,-5.510000000000001,0.5851212036779048
cartoes_total_ft_under_3_5,cartoes,under,Total de Cartões,Menos de 3.5,3.5,184,72,0.391304347826087,2.6442391304347828,0.48125845548445195,0.21654015349084985,0.08022882569973352,-0.052717391304347834,-9.700000000000001,0.37818062235376326
dupla_total_ft_12,dupla_chance,other,Dupla Chance,1 ou 2,,269,193,0.7174721189591078,1.319182156133829,0.8197887406732711,0.07937201750962417,0.06013440298276545,-0.05810408921933086,-15.63,0.7580454263653271
cartoes_total_ft_under_6_5,cartoes,under,Total de Cartões,Menos de 6.5,6.5,252,166,0.6587301587301587,1.4559126984126984,0.8042895577977681,0.16451612854165928,0.10571395286745033,-0.058888888888888886,-14.84,0.6868543705197743
gols_total_2t_over_0_5,gols,over,2º Tempo - Total de Gols,Mais de 0.5,0.5,222,163,0.7342342342342343,1.2820720720720722,0.8363365715735783,0.07051762672343795,0.054740191064955285,-0.06085585585585587,-13.510000000000003,0.7799873515564612
chutes_total_ft_under_24_5,chutes,under,Total de Finalizações,Menos de 24.5,24.5,157,75,0.47770700636942676,1.9646496815286623,0.6509472531075668,0.2616401719791082,0.13456693531751265,-0.06649681528662418,-10.439999999999998,0.508996595882639
chutes_total_ft_over_24_5,chutes,over,Total de Finalizações,Mais de 24.5,24.5,125,68,0.544,1.77576,0.7000472956679114,0.2332608236306518,0.12938375448010891,-0.06704,-8.38,0.5631391629499481
escanteios_total_ft_over_10_5,escanteios,over,Total de Escanteios,Mais de 10.5,10.5,267,112,0.41947565543071164,2.286142322097378,0.5475828792415189,0.2328523530088755,0.10199362509704887,-0.07101123595505619,-18.960000000000004,0.43741808650065533
escanteios_total_ht_under_5_5,escanteios,under,1º Tempo - Total de Escanteios,Menos de 5.5,5.5,676,443,0.6553254437869822,1.4176923076923078,0.8019456956621933,0.13425944540141585,0.09430443260961924,-0.07813609467455622,-52.82000000000001,0.7053716766142158
gols_total_ft_under_2_5,gols,under,Total de Gols,Menos de 2.5,2.5,349,165,0.47277936962750716,2.01865329512894,0.6117666241125851,0.19185801823442553,0.09472738899187359,-0.08128939828080228,-28.369999999999997,0.4953797674979773
chutes_total_ft_under_25_5,chutes,under,Total de Finalizações,Menos de 25.5,25.5,168,85,0.5059523809523809,1.848392857142857,0.6741546997718904,0.22970793742828755,0.12471351692520002,-0.08220238095238097,-13.810000000000002,0.5410105303835379
escanteios_total_ht_under_4_5,escanteios,under,1º Tempo - Total de Escanteios,Menos de 4.5,4.5,639,326,0.5101721439749609,1.8066510172143975,0.6598129291450446,0.18634467519092865,0.10273693885556916,-0.08951486697965567,-57.199999999999974,0.553510329594179
chutes_total_ft_under_26_5,chutes,under,Total de Finalizações,Menos de 26.5,26.5,136,71,0.5220588235294118,1.7805882352941176,0.6945384720711139,0.2250495867909932,0.12419461043379669,-0.09044117647058823,-12.299999999999999,0.561612157251404
escanteios_total_ft_over_11_5,escanteios,over,Total de Escanteios,Mais de 11.5,11.5,212,70,0.330188679245283,2.866179245283019,0.45512242766119765,0.27961884488804484,0.0974365647568611,-0.09108490566037733,-19.309999999999995,0.3488965324292744
chutes_alvo_total_ft_over_8_5,chutes_alvo,over,Total de Chutes no Gol,Mais de 8.5,8.5,104,44,0.4230769230769231,2.156057692307692,0.5271291072360504,0.13015058622025005,0.058751055715670485,-0.09221153846153844,-9.589999999999998,0.4638094813361281
gols_total_ft_over_1_5,gols,over,Total de Gols,Mais de 1.5,1.5,236,160,0.6779661016949152,1.3480084745762713,0.8179309426942281,0.0978192507072577,0.07181979474623813,-0.09326271186440678,-22.01,0.7418350988589569
1x2_total_ft_home,1x2,home,Resultado Final,1,,732,313,0.4275956284153005,2.397882513661202,0.6102930643878568,0.3592866462331143,0.14771312220922606,-0.09561475409836066,-69.99000000000001,0.41703461045435125
gols_total_ht_under_1_5,gols,under,1º Tempo - Total de Gols,Menos de 1.5,1.5,418,257,0.6148325358851675,1.4868181818181818,0.7493349103039361,0.10439061712659296,0.06955888298149611,-0.09648325358851671,-40.329999999999984,0.6725771935188016
escanteios_total_ft_under_8_5,escanteios,under,Total de Escanteios,Menos de 8.5,8.5,252,100,0.3968253968253968,2.3364285714285713,0.5426802221089126,0.25135260690446265,0.10820381849543381,-0.09662698412698413,-24.35,0.42800366860287375
chutes_total_ht_over_11_5,chutes,over,1º Tempo - Total de Finalizações,Mais de 11.5,11.5,142,69,0.4859154929577465,1.8640845070422534,0.6573537559555027,0.22248596919790203,0.11890319726180315,-0.09971830985915495,-14.160000000000002,0.5364563656970155
impedimentos_total_ft_over_2_5,impedimentos,over,Total de Impedimentos,Mais de 2.5,2.5,151,80,0.5298013245033113,1.720132450331126,0.69844954504358,0.19699470049200002,0.1128733979396327,-0.10549668874172187,-15.930000000000001,0.5813505813505813
gols_total_2t_over_1_5,gols,over,2º Tempo - Total de Gols,Mais de 1.5,1.5,450,191,0.42444444444444446,2.175,0.5569587466155397,0.1909425324429792,0.08787204446627675,-0.10646666666666668,-47.910000000000004,0.4597701149425288
cartoes_total_ft_over_2_5,cartoes,over,Total de Cartões,Mais de 2.5,2.5,91,56,0.6153846153846154,1.4576923076923078,0.7646840397264371,0.10636644680338767,0.06890810534904108,-0.11252747252747251,-10.239999999999998,0.6860158311345645
escanteios_total_ht_under_2_5,escanteios,under,1º Tempo - Total de Escanteios,Menos de 2.5,2.5,320,68,0.2125,4.273125,0.310040722948955,0.31058837719357635,0.07278443833302148,-0.11437499999999998,-36.599999999999994,0.2340207693432792
gols_total_2t_under_1_5,gols,under,2º Tempo - Total de Gols,Menos de 1.5,1.5,158,80,0.5063291139240507,1.754240506329114,0.6517216123776286,0.12397105057246091,0.07118241212214776,-0.12126582278481016,-19.160000000000004,0.5700472634123462
gols_total_ht_over_1_5,gols,over,1º Tempo - Total de Gols,Mais de 1.5,1.5,118,35,0.2966101694915254,2.8972033898305085,0.41844732668328516,0.17998183773647997,0.062360587322497156,-0.12398305084745763,-14.63,0.3451604411033434
cartoes_total_ft_over_3_5,cartoes,over,Total de Cartões,Mais de 3.5,3.5,119,56,0.47058823529411764,1.9063025210084033,0.6164816976333449,0.14303397101595716,0.07058806894686773,-0.13126050420168067,-15.620000000000001,0.5245757108221292
impedimentos_total_ft_under_3_5,impedimentos,under,Total de Impedimentos,Menos de 3.5,3.5,112,56,0.5,1.7906250000000001,0.666905317189916,0.1850030962593609,0.10000711674637648,-0.1414285714285715,-15.840000000000005,0.5584642233856894
chutes_total_ft_under_27_5,chutes,under,Total de Finalizações,Menos de 27.5,27.5,96,49,0.5104166666666666,1.7004166666666667,0.7237331389549543,0.22154068577039923,0.12856620636880045,-0.14593750000000003,-14.010000000000002,0.58809115412889
gols_total_ft_over_2_5,gols,over,Total de Gols,Mais de 2.5,2.5,331,148,0.4471299093655589,1.993474320241692,0.6148170889422702,0.19748724352059463,0.09819680680606323,-0.14867069486404833,-49.209999999999994,0.5016367604267701
gols_total_ft_over_4_5,gols,over,Total de Gols,Mais de 4.5,4.5,85,17,0.2,4.770588235294118,0.32338620762794773,0.4377712357240043,0.09707471400153898,-0.16294117647058828,-13.850000000000003,0.2096177558569667
escanteios_total_ht_under_3_5,escanteios,under,1º Tempo - Total de Escanteios,Menos de 3.5,3.5,537,175,0.3258845437616387,2.597486033519553,0.48346832179093197,0.24451820310634695,0.09373937278432963,-0.1666294227188082,-89.48,0.3849876330788257
chutes_total_ht_over_10_5,chutes,over,1º Tempo - Total de Finalizações,Mais de 10.5,10.5,86,39,0.45348837209302323,1.8140697674418604,0.660789629809264,0.19512261507377116,0.10792904208713569,-0.1694186046511628,-14.57,0.5512467149541697
escanteios_total_ft_under_7_5,escanteios,under,Total de Escanteios,Menos de 7.5,7.5,190,54,0.28421052631578947,3.0717894736842104,0.4339217202810217,0.3084909004543606,0.10141314354444185,-0.17621052631578948,-33.480000000000004,0.3255431430333767
chutes_alvo_total_ft_under_10_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 10.5,10.5,84,44,0.5238095238095238,1.6086904761904761,0.7273391534166753,0.16561101979283177,0.0957574731468456,-0.1907142857142857,-16.02,0.6216236216976245
escanteios_total_ft_over_12_5,escanteios,over,Total de Escanteios,Mais de 12.5,12.5,154,35,0.22727272727272727,3.633506493506493,0.3730343802428964,0.327241887383962,0.08988046073795218,-0.20487012987012992,-31.550000000000008,0.2752162413324755
gols_total_ht_under_0_5,gols,under,1º Tempo - Total de Gols,Menos de 0.5,0.5,453,117,0.2582781456953642,3.0882560706401767,0.40419289390170726,0.21483928955236634,0.07030451278745475,-0.20701986754966883,-93.77999999999999,0.3238073453516133
gols_total_ft_over_3_5,gols,over,Total de Gols,Mais de 3.5,3.5,285,73,0.256140350877193,3.298140350877193,0.4208609575261841,0.3313796861736889,0.10164497562914096,-0.2273684210526316,-64.80000000000001,0.3032011659946594
gols_total_2t_over_2_5,gols,over,2º Tempo - Total de Gols,Mais de 2.5,2.5,253,50,0.1976284584980237,4.0743083003952565,0.3354528478168043,0.3371114336002883,0.08384101397543461,-0.2476679841897233,-62.66,0.24544043461389214
cartoes_total_ft_over_4_5,cartoes,over,Total de Cartões,Mais de 4.5,4.5,90,28,0.3111111111111111,2.4774444444444446,0.500704123221544,0.15441570849756106,0.06047098706620622,-0.34900000000000003,-31.410000000000004,0.40364174552630394
gols_total_2t_under_0_5,gols,under,2º Tempo - Total de Gols,Menos de 0.5,0.5,125,22,0.176,3.8164000000000002,0.3343740559672396,0.23926412219056506,0.06390054810150464,-0.35336,-44.17,0.26202704119065084
gols_total_ft_under_1_5,gols,under,Total de Gols,Menos de 1.5,1.5,266,49,0.18421052631578946,3.5304887218045113,0.3877688505139826,0.3134170635858564,0.09045732652853446,-0.3791729323308271,-100.86000000000001,0.2832469039835589
